CONSECUTIVO,ESTADO,PROGRAMA,MODALIDAD,EXPEDICION,SUPERFICIE_ha,FECHA,fn_SUPERFICIE_ha
84,México,Programa de Ordenamiento Ecológico Local del Municipio de Capulhuac,Local,G.M. 15/Abr/2016,2150,2016-04-15,2150
85,México,Programa de Ordenamiento Ecológico Local del Municipio de Chalco,Local,G.M 10/Abr/2010,22972,2010-04-10,22972
86,México,Programa de Ordenamiento Ecológico Local del Municipio de Donato Guerra,Local,P.O. 15/Ene/2014,23800,2014-01-15,23800
87,México,Programa de Ordenamiento Ecológico Local del Municipio de Ecatepec de Morelos,Local,G.M. 29/May/2011,18690,2011-05-29,18690
88,México,Programa de Ordenamiento Ecológico Local del Municipio de Huehuetoca,Local,G.M. 24/Feb/2012,16171,2012-02-24,16171
89,México,Programa de Ordenamiento Ecológico Local del Municipio de Ixtapaluca,Local,G.M. 05/Ago/2009,31898,2009-08-05,31898
90,México,Ordenamiento Ecológico Local del Municipio de Ixtlahuaca,Local,B.M. 15/Dic/2008,33465,2008-12-15,33465
91,México,Programa de Ordenamiento Ecológico Local del Municipio de Jilotepec,Local,G.M. 22/Ago/2013,58873,2013-08-22,58873
92,México,Programa de Ordenamiento Ecológico Local del Municipio de Joquicingo,Local,G.M. 04/Dic/2015,4504,2015-12-04,4504
93,México,Programa de Ordenamiento Ecológico Local del Municipio de Nicolas Romero,Local,G.M. 28/May/2012,23217,2012-05-28,23217
94,México,Programa de Ordenamiento Ecológico Local del Municipio de San Antonio La Isla,Local,G.M. 07/Dic/2015;           P.O. 18/Dic/2015,2332,2015-12-18,2332
95,México,Programa de Ordenamiento Ecológico Local del Municipio de San José del Rincón,Local,G.M. 03/Feb/2012,49414,2012-02-03,49414
96,México,Programa de Ordenamiento Ecológico Local del Municipio de Temascalcingo,Local,G.M. 02/Sep/2013,35533,2013-09-02,35533
97,México,Programa de Ordenamiento Ecológico Local del Municipio de Texcalyacac,Local,G.M. 18/Nov/2015,2543,2015-11-18,2543
98,México,Programa de Ordenamiento Ecológico Local del Municipio de Tianguistenco,Local,G.M. 23/Nov/2015;        P.O. 18/Dic/2015,13181,2015-12-18,13181
99,México,Programa de Ordenamiento Ecológico Local del Municipio de Tlalmanalco,Local,G.M. Mar/2010,15798,,15798
100,México,Programa de Ordenamiento Ecológico Local de Villa de Allende,Local,B.M. 14/Ago/2006,47641,2006-08-14,47641
101,México,Programa de Ordenamiento Ecológico Local del Municipio de Zumpango,Local,G.M. 12/Oct/2012,24496,2012-10-12,24496
102,Michoacán,Programa de Ordenamiento Ecológico Estatal de Michoacán,Regional,P.O. 11/Feb/2011,5899400,2011-02-11,5899400
